account_code,account_name,currency,subledger_balance,period,entity
1500,Fixed Assets - Gross,USD,3053790.81,2026-04,AMER
4002,Revenue - Services,USD,1666227.07,2026-04,AMER
4003,Revenue - Licensing,USD,2874420.95,2026-04,AMER
2200,Deferred Revenue,USD,236858.89,2026-04,AMER
6003,Marketing Expenses,USD,78014.3,2026-04,AMER
6007,Depreciation Expense,USD,167737.28,2026-04,AMER
2500,Income Tax Payable,USD,426908.0,2026-04,AMER
2001,Accounts Payable,USD,1871045.57,2026-04,AMER
3001,Retained Earnings,USD,12205217.41,2026-04,AMER
2100,Accrued Liabilities,USD,599014.49,2026-04,AMER
6005,Professional Fees,USD,171164.93,2026-04,AMER
2400,Intercompany Payables,USD,1461777.33,2026-04,AMER
6004,IT and Infrastructure,USD,252831.05,2026-04,AMER
1800,Intangible Assets,USD,1148473.17,2026-04,AMER
1700,Goodwill,USD,8465328.73,2026-04,AMER
6008,Research and Development,USD,1279057.92,2026-04,AMER
1501,Accumulated Depreciation,USD,2612531.72,2026-04,AMER
6001,Salaries and Wages,USD,3013625.38,2026-04,AMER
1001,Cash and Cash Equivalents,USD,3669057.28,2026-04,AMER
7001,Interest Expense,USD,0.0,2026-04,AMER
2300,Long-term Debt,USD,2663289.72,2026-04,AMER
4001,Revenue - Product,USD,6496455.45,2026-04,AMER
1200,Prepaid Expenses,USD,29365.76,2026-04,AMER
6010,Utilities,USD,22813.08,2026-04,AMER
6006,Travel and Entertainment,USD,22168.96,2026-04,AMER
5001,Cost of Goods Sold,USD,3141580.59,2026-04,AMER
1300,Inventory,USD,1306035.94,2026-04,AMER
6002,Rent and Facilities,USD,212444.08,2026-04,AMER
1400,Short-term Investments,USD,399797.57,2026-04,AMER
6009,Insurance Premiums,USD,24224.88,2026-04,AMER
1200,Prepaid Expenses,GBP,69247.22,2026-04,EMEA-GBP
1001,Cash and Cash Equivalents,GBP,3057356.6,2026-04,EMEA-GBP
2300,Long-term Debt,GBP,2996721.19,2026-04,EMEA-GBP
6004,IT and Infrastructure,GBP,366225.1,2026-04,EMEA-GBP
6005,Professional Fees,GBP,269919.66,2026-04,EMEA-GBP
2500,Income Tax Payable,GBP,213454.3,2026-04,EMEA-GBP
6003,Marketing Expenses,GBP,213626.98,2026-04,EMEA-GBP
5001,Cost of Goods Sold,GBP,9975579.25,2026-04,EMEA-GBP
2100,Accrued Liabilities,GBP,432036.61,2026-04,EMEA-GBP
6006,Travel and Entertainment,GBP,22355.56,2026-04,EMEA-GBP
1800,Intangible Assets,GBP,187898.41,2026-04,EMEA-GBP
1300,Inventory,GBP,308969.28,2026-04,EMEA-GBP
3001,Retained Earnings,GBP,9597384.79,2026-04,EMEA-GBP
7001,Interest Expense,GBP,397763.3,2026-04,EMEA-GBP
1501,Accumulated Depreciation,GBP,1383503.26,2026-04,EMEA-GBP
4001,Revenue - Product,EUR,15485921.88,2026-04,EMEA-EUR
4003,Revenue - Licensing,EUR,1636399.19,2026-04,EMEA-EUR
2200,Deferred Revenue,EUR,472059.54,2026-04,EMEA-EUR
2500,Income Tax Payable,EUR,275482.61,2026-04,EMEA-EUR
6007,Depreciation Expense,EUR,0.0,2026-04,EMEA-EUR
1500,Fixed Assets - Gross,EUR,2930165.06,2026-04,EMEA-EUR
1501,Accumulated Depreciation,EUR,253295.72,2026-04,EMEA-EUR
1100,Accounts Receivable,EUR,3730369.19,2026-04,EMEA-EUR
6008,Research and Development,EUR,1786746.01,2026-04,EMEA-EUR
6009,Insurance Premiums,EUR,82742.18,2026-04,EMEA-EUR
